transaction_id,amount,transaction_type,account_age_days,transactions_last_24h,device_changed,international,transaction_hour,previous_fraud_count,is_fraud
1,243.89,PAYMENT,2153,2,0,0,14,1,1
2,129.25,DEBIT,2327,5,0,0,9,0,0
3,283.64,CASH_IN,270,3,0,0,16,1,1
4,680.64,CASH_IN,2894,4,0,0,2,0,1
5,117.43,CASH_OUT,1729,2,0,1,12,0,0
6,117.43,PAYMENT,2092,2,0,0,11,1,0
7,719.97,PAYMENT,2418,3,1,0,7,0,0
8,319.72,CASH_IN,694,2,1,1,10,0,0
9,92.81,PAYMENT,525,3,1,0,11,0,0
10,255.33,PAYMENT,1494,4,0,0,1,0,0
11,93.37,TRANSFER,579,3,0,0,16,0,0
12,93.16,TRANSFER,2114,1,0,0,15,0,1
13,189.04,CASH_OUT,1837,4,0,0,7,2,1
14,21.91,TRANSFER,2846,10,0,1,22,0,0
15,26.45,CASH_OUT,1228,1,0,0,12,1,0
16,84.58,CASH_IN,465,0,0,0,3,0,0
17,53.9,PAYMENT,2370,5,0,1,12,0,1
18,203.21,PAYMENT,330,2,0,0,21,1,0
19,59.86,TRANSFER,1727,3,0,0,15,0,0
20,36.15,DEBIT,1392,3,0,0,12,0,0
21,642.68,PAYMENT,1076,5,0,0,17,0,0
22,118.42,PAYMENT,2427,3,0,0,15,0,0
23,158.78,CASH_OUT,2926,3,0,1,14,0,0
24,35.7,TRANSFER,1119,4,1,0,3,0,0
25,86.11,DEBIT,1448,4,0,0,5,2,0
26,165.82,CASH_IN,2510,5,0,0,9,0,0
27,46.95,TRANSFER,599,7,0,0,4,1,1
28,216.09,CASH_OUT,58,1,0,0,14,0,0
29,81.4,PAYMENT,670,3,0,1,15,0,0
30,110.86,CASH_OUT,144,3,1,0,15,0,0
31,81.31,CASH_OUT,2714,5,0,0,23,0,0
32,946.03,PAYMENT,1131,3,0,0,6,1,0
33,146.42,PAYMENT,2352,3,0,0,18,1,0
34,51.54,DEBIT,2421,4,1,0,22,0,0
35,337.83,TRANSFER,709,5,0,1,7,1,1
36,43.78,CASH_OUT,110,2,1,1,1,0,1
37,182.89,PAYMENT,2015,3,0,0,17,0,0
38,20.91,TRANSFER,2684,2,0,1,17,0,0
39,39.32,CASH_IN,750,5,0,0,1,1,0
40,180.7,PAYMENT,101,3,0,0,2,0,0
41,310.59,CASH_OUT,2059,5,0,0,7,0,0
42,176.16,PAYMENT,503,4,0,0,15,1,0
43,132.2,TRANSFER,1050,4,0,0,20,0,0
44,109.83,DEBIT,200,4,0,0,4,0,0
45,33.83,TRANSFER,2117,1,0,0,22,0,0
46,72.25,DEBIT,2501,4,0,0,15,0,0
47,93.63,DEBIT,2965,8,1,0,19,0,0
48,427.14,DEBIT,1909,4,0,1,3,3,1
49,209.27,CASH_IN,1275,4,0,0,21,0,0
50,25.46,PAYMENT,827,4,0,1,12,0,0
51,205.22,DEBIT,2527,5,1,0,22,0,1
52,100.98,PAYMENT,1481,3,0,0,20,0,0
